,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
14003,FC Rotor Volgograd,Zenit St. Petersburg,0.291351,1.98716,0,2,h,2020-08-11 15:00:00
14009,FC Rotor Volgograd,Dinamo Moscow,0.131569,1.48952,0,0,a,2020-08-15 12:30:00
14018,FC Rotor Volgograd,FK Akhmat,0.579386,3.19592,1,3,a,2020-08-19 15:00:00
14026,FC Rotor Volgograd,PFC Sochi,0.646719,1.54438,1,2,h,2020-08-22 17:00:00
14033,FC Rotor Volgograd,Spartak Moscow,0.946118,2.81689,0,1,h,2020-08-26 15:30:00
14039,FC Rotor Volgograd,Khimki,0.558833,1.32437,1,1,a,2020-08-29 17:00:00
14229,FC Rotor Volgograd,FC Krasnodar,0.0,0.0,0,3,h,2020-09-13 16:00:00
14235,FC Rotor Volgograd,FC Rostov,0.0,0.0,0,3,a,2020-09-19 16:00:00
14247,FC Rotor Volgograd,Rubin Kazan,0.759643,3.13122,1,3,h,2020-09-27 16:00:00
14297,FC Rotor Volgograd,FC Ufa,0.231532,0.919618,0,0,a,2020-10-03 11:00:00
14312,FC Rotor Volgograd,FC Tambov,1.45195,1.28805,0,2,h,2020-10-18 11:00:00
14314,FC Rotor Volgograd,Lokomotiv Moscow,1.00236,1.94666,2,1,a,2020-10-24 16:00:00
14326,FC Rotor Volgograd,CSKA Moscow,0.261804,1.43869,0,1,h,2020-11-01 13:30:00
14331,FC Rotor Volgograd,Arsenal Tula,1.22757,1.7763,1,1,a,2020-11-07 13:30:00
14343,FC Rotor Volgograd,Ural,0.541889,0.251351,0,0,h,2020-11-22 13:30:00
14352,FC Rotor Volgograd,Spartak Moscow,0.810802,2.19857,0,2,a,2020-11-29 16:00:00
14359,FC Rotor Volgograd,FC Krasnodar,0.649798,2.58954,0,5,a,2020-12-05 16:00:00
14363,FC Rotor Volgograd,FC Ufa,0.785806,0.940019,1,0,h,2020-12-12 11:00:00
14370,FC Rotor Volgograd,Arsenal Tula,1.13571,1.48884,1,0,h,2020-12-16 15:00:00
14383,FC Rotor Volgograd,FC Tambov,1.17341,0.874433,3,1,a,2021-02-26 16:00:00
14388,FC Rotor Volgograd,Khimki,1.04754,0.203205,0,0,h,2021-03-06 13:30:00
14397,FC Rotor Volgograd,Ural,0.268418,1.27352,0,1,a,2021-03-13 09:00:00
14402,FC Rotor Volgograd,FC Rostov,0.787649,2.78456,0,4,h,2021-03-17 15:00:00
14410,FC Rotor Volgograd,Lokomotiv Moscow,0.227982,0.75737,0,2,h,2021-04-03 11:00:00
14423,FC Rotor Volgograd,CSKA Moscow,0.21824,1.93596,0,2,a,2021-04-12 16:00:00
14426,FC Rotor Volgograd,Dinamo Moscow,0.266019,2.78987,0,3,h,2021-04-17 13:30:00
14440,FC Rotor Volgograd,Zenit St. Petersburg,0.0231322,2.90811,0,6,a,2021-04-24 13:30:00
14448,FC Rotor Volgograd,FK Akhmat,0.245349,0.87064,1,0,h,2021-05-01 11:00:00
14452,FC Rotor Volgograd,PFC Sochi,1.20371,1.32634,1,2,a,2021-05-07 17:00:00
14462,FC Rotor Volgograd,Rubin Kazan,1.15847,1.53532,1,1,a,2021-05-16 11:00:00
