,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
374817,RightFoot,OpenPlay,MissedShots,0.013018546625971794,38,0,2,Anton Piskunov,8614,h,FC Rotor Volgograd,Zenit St. Petersburg,Sergei Makarov,2020-08-11 15:00:00,14003,2020,"(0.7319999694824219, 0.25)"
374805,Head,FromCorner,SavedShot,0.04367423802614212,2,0,2,Cedric Gogoua,7672,h,FC Rotor Volgograd,Zenit St. Petersburg,,2020-08-11 15:00:00,14003,2020,"(0.9169999694824219, 0.4929999923706055)"
374831,LeftFoot,OpenPlay,SavedShot,0.010421856306493282,92,0,2,Sergey Serchenkov,2805,h,FC Rotor Volgograd,Zenit St. Petersburg,Ilya Zhigulev,2020-08-11 15:00:00,14003,2020,"(0.6830000305175781, 0.5779999923706055)"
374824,RightFoot,FromCorner,MissedShots,0.018683206290006638,64,0,2,Mukhammad Sultanov,8617,h,FC Rotor Volgograd,Zenit St. Petersburg,,2020-08-11 15:00:00,14003,2020,"(0.789000015258789, 0.35900001525878905)"
374822,RightFoot,OpenPlay,SavedShot,0.03096017986536026,62,0,2,Mukhammad Sultanov,8617,h,FC Rotor Volgograd,Zenit St. Petersburg,Kamil Mullin,2020-08-11 15:00:00,14003,2020,"(0.8419999694824218, 0.275)"
374815,LeftFoot,OpenPlay,BlockedShot,0.026664353907108307,35,0,2,Mukhammad Sultanov,8617,h,FC Rotor Volgograd,Zenit St. Petersburg,Anton Piskunov,2020-08-11 15:00:00,14003,2020,"(0.8230000305175781, 0.28899999618530275)"
374825,RightFoot,OpenPlay,MissedShots,0.020124074071645737,66,0,2,Kamil Mullin,3196,h,FC Rotor Volgograd,Zenit St. Petersburg,Oleg Aleinik,2020-08-11 15:00:00,14003,2020,"(0.794000015258789, 0.2620000076293945)"
374814,LeftFoot,OpenPlay,BlockedShot,0.00764951528981328,35,0,2,Oleg Aleinik,8618,h,FC Rotor Volgograd,Zenit St. Petersburg,Kamil Mullin,2020-08-11 15:00:00,14003,2020,"(0.6890000152587891, 0.33099998474121095)"
374816,RightFoot,OpenPlay,SavedShot,0.05290105193853378,35,0,2,Kamil Mullin,3196,h,FC Rotor Volgograd,Zenit St. Petersburg,,2020-08-11 15:00:00,14003,2020,"(0.925, 0.33799999237060546)"
374812,RightFoot,OpenPlay,SavedShot,0.019150959327816963,29,0,2,Kamil Mullin,3196,h,FC Rotor Volgograd,Zenit St. Petersburg,Mukhammad Sultanov,2020-08-11 15:00:00,14003,2020,"(0.764000015258789, 0.6680000305175782)"
374823,Head,OpenPlay,MissedShots,0.04951333999633789,63,0,2,Kamil Mullin,3196,h,FC Rotor Volgograd,Zenit St. Petersburg,Mukhammad Sultanov,2020-08-11 15:00:00,14003,2020,"(0.9290000152587891, 0.46599998474121096)"
374951,RightFoot,DirectFreekick,MissedShots,0.029707202687859535,64,0,0,Oleg Aleinik,8618,a,FC Rotor Volgograd,Dinamo Moscow,,2020-08-15 12:30:00,14009,2020,"(0.7469999694824219, 0.7959999847412109)"
374937,RightFoot,OpenPlay,SavedShot,0.0831746980547905,10,0,0,Kamil Mullin,3196,a,FC Rotor Volgograd,Dinamo Moscow,Anton Piskunov,2020-08-15 12:30:00,14009,2020,"(0.8859999847412109, 0.3609999847412109)"
374950,RightFoot,OpenPlay,SavedShot,0.01868670992553234,61,0,0,Mukhammad Sultanov,8617,a,FC Rotor Volgograd,Dinamo Moscow,Evgeni Pesegov,2020-08-15 12:30:00,14009,2020,"(0.7530000305175781, 0.3060000038146973)"
375390,LeftFoot,OpenPlay,Goal,0.347395122051239,57,1,3,Sergey Serchenkov,2805,a,FC Rotor Volgograd,FK Akhmat,,2020-08-19 15:00:00,14018,2020,"(0.9290000152587891, 0.43400001525878906)"
375377,RightFoot,OpenPlay,MissedShots,0.005734412465244532,20,1,3,Ilya Zhigulev,5479,a,FC Rotor Volgograd,FK Akhmat,Anton Piskunov,2020-08-19 15:00:00,14018,2020,"(0.42, 0.36900001525878906)"
