,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13998,FC Tambov,FC Rostov,0.299492,0.773392,0,1,h,2020-08-08 15:30:00
14010,FC Tambov,CSKA Moscow,0.906852,1.15259,1,2,a,2020-08-15 15:00:00
14014,FC Tambov,Khimki,1.32944,0.667604,1,0,h,2020-08-18 16:00:00
14024,FC Tambov,Zenit St. Petersburg,0.298788,3.73475,1,4,a,2020-08-22 15:00:00
14029,FC Tambov,PFC Sochi,0.702082,2.16814,0,1,h,2020-08-25 15:30:00
14037,FC Tambov,Rubin Kazan,0.730955,2.10179,2,2,a,2020-08-30 15:00:00
14225,FC Tambov,FC Ufa,0.847346,0.344299,2,0,h,2020-09-12 10:45:00
14239,FC Tambov,Lokomotiv Moscow,0.183486,1.20872,0,1,a,2020-09-20 16:00:00
14241,FC Tambov,Spartak Moscow,0.508339,0.647471,0,2,h,2020-09-26 11:00:00
14298,FC Tambov,Arsenal Tula,2.1935,0.349452,1,1,h,2020-10-03 13:30:00
14312,FC Tambov,FC Rotor Volgograd,1.28805,1.45195,2,0,a,2020-10-18 11:00:00
14313,FC Tambov,Ural,0.168364,0.643363,0,0,a,2020-10-25 11:00:00
14323,FC Tambov,Dinamo Moscow,1.79455,2.5361,1,2,h,2020-11-01 16:00:00
14333,FC Tambov,FK Akhmat,0.278967,1.3552,0,1,h,2020-11-07 16:00:00
14340,FC Tambov,FC Krasnodar,0.189986,1.48972,0,1,a,2020-11-21 11:00:00
14347,FC Tambov,FC Ufa,0.982368,2.79968,0,4,a,2020-11-29 11:00:00
14355,FC Tambov,Spartak Moscow,0.591488,3.85838,1,5,a,2020-12-05 13:30:00
14365,FC Tambov,Rubin Kazan,0.205092,2.05102,0,1,h,2020-12-13 11:00:00
14372,FC Tambov,Ural,0.917057,1.43186,1,1,h,2020-12-18 15:00:00
14383,FC Tambov,FC Rotor Volgograd,0.874433,1.17341,1,3,h,2021-02-26 16:00:00
14391,FC Tambov,Dinamo Moscow,0.247707,2.95017,0,2,a,2021-03-07 13:30:00
14400,FC Tambov,FC Krasnodar,0.790648,3.1852,0,4,h,2021-03-14 13:30:00
14408,FC Tambov,PFC Sochi,0.816509,2.57127,0,5,a,2021-03-19 16:00:00
14412,FC Tambov,CSKA Moscow,0.991934,3.84893,1,2,h,2021-04-04 13:30:00
14417,FC Tambov,Khimki,0.239934,1.34649,0,1,a,2021-04-10 11:00:00
14427,FC Tambov,Arsenal Tula,0.247377,3.20169,0,4,a,2021-04-18 11:00:00
14436,FC Tambov,Lokomotiv Moscow,2.11607,2.32545,2,5,h,2021-04-24 16:00:00
14442,FC Tambov,FC Rostov,0.489189,1.99574,0,2,a,2021-05-02 13:30:00
14455,FC Tambov,FK Akhmat,0.618884,2.34455,1,3,a,2021-05-07 15:00:00
14457,FC Tambov,Zenit St. Petersburg,0.440336,2.3927,1,5,h,2021-05-16 11:00:00
