,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
374734,RightFoot,OpenPlay,MissedShots,0.022725054994225502,15,0,0,Idris Imaev,6617,a,FK Akhmat,Arsenal Tula,,2020-08-09 16:00:00,14000,2020,"(0.85, 0.28100000381469725)"
374733,RightFoot,OpenPlay,BlockedShot,0.05830428749322891,15,0,0,Bernard Berisha,2946,a,FK Akhmat,Arsenal Tula,Maksim Nenakhov,2020-08-09 16:00:00,14000,2020,"(0.8080000305175781, 0.49900001525878906)"
374740,RightFoot,OpenPlay,MissedShots,0.027482300996780396,41,0,0,Bernard Berisha,2946,a,FK Akhmat,Arsenal Tula,,2020-08-09 16:00:00,14000,2020,"(0.8019999694824219, 0.6609999847412109)"
374743,LeftFoot,OpenPlay,MissedShots,0.031726427376270294,64,0,0,Bernard Berisha,2946,a,FK Akhmat,Arsenal Tula,,2020-08-09 16:00:00,14000,2020,"(0.86, 0.27)"
374747,RightFoot,OpenPlay,SavedShot,0.022449621930718422,74,0,0,Bernard Berisha,2946,a,FK Akhmat,Arsenal Tula,Ismael,2020-08-09 16:00:00,14000,2020,"(0.755, 0.425)"
374739,RightFoot,OpenPlay,MissedShots,0.10287979245185852,38,0,0,Idris Imaev,6617,a,FK Akhmat,Arsenal Tula,Bernard Berisha,2020-08-09 16:00:00,14000,2020,"(0.91, 0.3770000076293945)"
374738,RightFoot,OpenPlay,SavedShot,0.020510254427790642,36,0,0,Artem Timofeev,3026,a,FK Akhmat,Arsenal Tula,Idris Imaev,2020-08-09 16:00:00,14000,2020,"(0.749000015258789, 0.4570000076293945)"
374745,LeftFoot,OpenPlay,MissedShots,0.051829446107149124,66,0,0,Evgeny Kharin,7123,a,FK Akhmat,Arsenal Tula,,2020-08-09 16:00:00,14000,2020,"(0.9630000305175781, 0.6840000152587891)"
374735,Head,FromCorner,MissedShots,0.06164875626564026,27,0,0,Anton Shvets,4199,a,FK Akhmat,Arsenal Tula,Bernard Berisha,2020-08-09 16:00:00,14000,2020,"(0.9440000152587891, 0.59)"
374744,RightFoot,OpenPlay,BlockedShot,0.04764692857861519,66,0,0,Ismael,6024,a,FK Akhmat,Arsenal Tula,,2020-08-09 16:00:00,14000,2020,"(0.8090000152587891, 0.485)"
374919,RightFoot,OpenPlay,SavedShot,0.04897594079375267,38,0,2,Vladimir Iljin,5497,a,FK Akhmat,Spartak Moscow,,2020-08-14 17:00:00,14007,2020,"(0.8959999847412109, 0.3139999961853027)"
374923,Head,FromCorner,SavedShot,0.040378864854574203,45,0,2,Anton Shvets,4199,a,FK Akhmat,Spartak Moscow,Oleg Ivanov,2020-08-14 17:00:00,14007,2020,"(0.8819999694824219, 0.534000015258789)"
374932,Head,FromCorner,MissedShots,0.05744931846857071,88,0,2,Oleg Ivanov,2857,a,FK Akhmat,Spartak Moscow,Odise Roshi,2020-08-14 17:00:00,14007,2020,"(0.9309999847412109, 0.505)"
374922,RightFoot,OpenPlay,MissedShots,0.07123716175556183,47,0,2,Andrés Ponce,1811,a,FK Akhmat,Spartak Moscow,Bernard Berisha,2020-08-14 17:00:00,14007,2020,"(0.8319999694824218, 0.5590000152587891)"
374931,RightFoot,OpenPlay,MissedShots,0.013827222399413586,80,0,2,Odise Roshi,5461,a,FK Akhmat,Spartak Moscow,Anton Shvets,2020-08-14 17:00:00,14007,2020,"(0.7869999694824219, 0.755)"
