,team,opponent,xG_scored,xG_conceded,goals_scored,goals_conceded,location,date
13997,Khimki,CSKA Moscow,0.598929,1.96692,0,2,h,2020-08-08 13:00:00
14006,Khimki,PFC Sochi,1.23537,1.08232,1,1,a,2020-08-14 16:00:00
14014,Khimki,FC Tambov,0.667604,1.32944,0,1,a,2020-08-18 16:00:00
14022,Khimki,FK Akhmat,1.47793,1.5204,1,2,h,2020-08-22 13:00:00
14030,Khimki,Arsenal Tula,0.292204,1.38733,1,1,a,2020-08-25 17:30:00
14039,Khimki,FC Rotor Volgograd,1.32437,0.558833,1,1,h,2020-08-29 17:00:00
14226,Khimki,Ural,1.07358,1.80441,1,3,a,2020-09-12 13:30:00
14233,Khimki,FC Krasnodar,0.980698,5.32246,2,7,a,2020-09-18 17:00:00
14248,Khimki,Dinamo Moscow,1.58689,1.70269,1,0,h,2020-09-28 16:00:00
14301,Khimki,Lokomotiv Moscow,1.24997,1.90177,1,2,a,2020-10-04 11:00:00
14311,Khimki,Spartak Moscow,1.65828,2.46067,2,3,h,2020-10-17 16:00:00
14319,Khimki,FC Rostov,1.84207,1.49643,2,0,a,2020-10-25 13:30:00
14328,Khimki,Zenit St. Petersburg,0.700412,1.40536,0,2,h,2020-11-01 11:00:00
14329,Khimki,Rubin Kazan,1.33586,0.776129,2,0,h,2020-11-08 11:00:00
14344,Khimki,FC Ufa,0.663991,2.0242,2,1,a,2020-11-23 14:00:00
14345,Khimki,FC Krasnodar,1.03996,0.417643,1,0,h,2020-11-28 13:30:00
14358,Khimki,CSKA Moscow,1.31816,2.15343,2,2,a,2020-12-06 16:00:00
14362,Khimki,Arsenal Tula,0.337969,1.68285,1,0,h,2020-12-11 16:00:00
14369,Khimki,Lokomotiv Moscow,2.23888,0.975678,3,2,h,2020-12-17 15:00:00
14381,Khimki,FC Ufa,1.09661,1.1534,2,1,h,2021-02-27 11:00:00
14388,Khimki,FC Rotor Volgograd,0.203205,1.04754,0,0,a,2021-03-06 13:30:00
14396,Khimki,FC Rostov,1.88865,0.488737,1,0,h,2021-03-12 16:00:00
14407,Khimki,Rubin Kazan,1.24634,2.28533,3,1,a,2021-03-19 16:00:00
14414,Khimki,Zenit St. Petersburg,0.184187,2.45739,0,2,a,2021-04-05 16:00:00
14417,Khimki,FC Tambov,1.34649,0.239934,1,0,h,2021-04-10 11:00:00
14428,Khimki,FK Akhmat,0.349867,1.92018,1,3,a,2021-04-17 11:00:00
14437,Khimki,Dinamo Moscow,0.362881,1.67222,1,0,a,2021-04-24 16:00:00
14447,Khimki,Ural,0.695542,1.03204,1,0,h,2021-05-02 11:00:00
14456,Khimki,Spartak Moscow,0.511932,2.18124,1,2,a,2021-05-10 16:00:00
14463,Khimki,PFC Sochi,0.483055,0.806642,0,0,h,2021-05-16 11:00:00
