,shot_type,situation,result,xG,minute,team_score,opponent_score,name,understat_id,location,team,opponent,assist,date,match_id,season,position
374679,Head,FromCorner,MissedShots,0.04582994803786278,84,0,2,Mohamed Konate,5417,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.9309999847412109, 0.44799999237060545)"
374670,RightFoot,OpenPlay,BlockedShot,0.018548818305134773,53,0,2,Vladimir Dyadyun,2974,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.7519999694824219, 0.5070000076293946)"
374681,RightFoot,OpenPlay,SavedShot,0.027386896312236786,87,0,2,Vladimir Dyadyun,2974,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.799000015258789, 0.5179999923706055)"
374684,RightFoot,OpenPlay,BlockedShot,0.04081679880619049,90,0,2,Vladimir Dyadyun,2974,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.85, 0.3770000076293945)"
374683,RightFoot,OpenPlay,BlockedShot,0.009282923303544521,89,0,2,Kamran Aliev,8602,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.735, 0.6969999694824218)"
374680,LeftFoot,OpenPlay,SavedShot,0.17218461632728577,86,0,2,Artem Polyarus,8601,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.899000015258789, 0.395)"
374660,RightFoot,OpenPlay,SavedShot,0.020808089524507523,20,0,2,Kirill Bozhenov,8598,h,Khimki,CSKA Moscow,Artem Polyarus,2020-08-08 13:00:00,13997,2020,"(0.7930000305175782, 0.2979999923706055)"
374677,RightFoot,OpenPlay,MissedShots,0.008455345407128334,82,0,2,Maksim Martusevich,8600,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.7140000152587891, 0.39099998474121095)"
374666,Head,OpenPlay,MissedShots,0.010087836533784866,35,0,2,Vladimir Dyadyun,2974,h,Khimki,CSKA Moscow,Artem Polyarus,2020-08-08 13:00:00,13997,2020,"(0.845, 0.43599998474121093)"
374678,RightFoot,OpenPlay,BlockedShot,0.009728851728141308,84,0,2,Maksim Martusevich,8600,h,Khimki,CSKA Moscow,Kamran Aliev,2020-08-08 13:00:00,13997,2020,"(0.7040000152587891, 0.605999984741211)"
374674,RightFoot,OpenPlay,MissedShots,0.04423152655363083,70,0,2,Kamran Aliev,8602,h,Khimki,CSKA Moscow,Kirill Bozhenov,2020-08-08 13:00:00,13997,2020,"(0.8280000305175781, 0.6480000305175782)"
374657,Head,OpenPlay,MissedShots,0.0456654317677021,10,0,2,Vladimir Dyadyun,2974,h,Khimki,CSKA Moscow,Kirill Bozhenov,2020-08-08 13:00:00,13997,2020,"(0.9080000305175782, 0.40900001525878904)"
374686,RightFoot,OpenPlay,BlockedShot,0.009091999381780624,92,0,2,Artem Polyarus,8601,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.73, 0.385)"
374663,Head,OpenPlay,BlockedShot,0.027428893372416496,28,0,2,Alexander Troshechkin,3025,h,Khimki,CSKA Moscow,Artem Polyarus,2020-08-08 13:00:00,13997,2020,"(0.8690000152587891, 0.46599998474121096)"
374676,LeftFoot,OpenPlay,BlockedShot,0.01677520200610161,82,0,2,Alexander Troshechkin,3025,h,Khimki,CSKA Moscow,Dmitri Tikhiy,2020-08-08 13:00:00,13997,2020,"(0.7480000305175781, 0.5209999847412109)"
374682,Head,OpenPlay,BlockedShot,0.03576824441552162,89,0,2,Mohamed Konate,5417,h,Khimki,CSKA Moscow,,2020-08-08 13:00:00,13997,2020,"(0.899000015258789, 0.3820000076293945)"
374671,LeftFoot,OpenPlay,SavedShot,0.012664235197007656,55,0,2,Ilya Kukharchuk,8599,h,Khimki,CSKA Moscow,Vladimir Dyadyun,2020-08-08 13:00:00,13997,2020,"(0.8040000152587891, 0.21)"
374665,RightFoot,OpenPlay,MissedShots,0.04431542009115219,32,0,2,Arshak Koryan,4695,h,Khimki,CSKA Moscow,Vladimir Dyadyun,2020-08-08 13:00:00,13997,2020,"(0.8159999847412109, 0.4809999847412109)"
374894,RightFoot,OpenPlay,MissedShots,0.03646325692534447,41,1,1,Brian Idowu,2832,a,Khimki,PFC Sochi,,2020-08-14 16:00:00,14006,2020,"(0.7859999847412109, 0.6430000305175781)"
374900,RightFoot,OpenPlay,SavedShot,0.028275983408093452,61,1,1,Arshak Koryan,4695,a,Khimki,PFC Sochi,Brian Idowu,2020-08-14 16:00:00,14006,2020,"(0.764000015258789, 0.42400001525878905)"
374901,LeftFoot,FromCorner,SavedShot,0.05333443358540535,61,1,1,Arshak Koryan,4695,a,Khimki,PFC Sochi,Dmitri Tikhiy,2020-08-14 16:00:00,14006,2020,"(0.8519999694824218, 0.44599998474121094)"
374909,Head,OpenPlay,SavedShot,0.06173822283744812,92,1,1,Brian Idowu,2832,a,Khimki,PFC Sochi,Alexander Lomovitskiy,2020-08-14 16:00:00,14006,2020,"(0.894000015258789, 0.5159999847412109)"
374887,Head,FromCorner,BlockedShot,0.01956123672425747,18,1,1,Dmitri Tikhiy,8597,a,Khimki,PFC Sochi,Artem Polyarus,2020-08-14 16:00:00,14006,2020,"(0.92, 0.38)"
374908,LeftFoot,OpenPlay,MissedShots,0.04982125386595726,90,1,1,Danil Lipovoy,7010,a,Khimki,PFC Sochi,,2020-08-14 16:00:00,14006,2020,"(0.8969999694824219, 0.685)"
374883,RightFoot,SetPiece,MissedShots,0.008523352444171906,11,1,1,Artem Polyarus,8601,a,Khimki,PFC Sochi,Brian Idowu,2020-08-14 16:00:00,14006,2020,"(0.6890000152587891, 0.67)"
374897,RightFoot,OpenPlay,MissedShots,0.03803715482354164,50,1,1,Artem Polyarus,8601,a,Khimki,PFC Sochi,Arshak Koryan,2020-08-14 16:00:00,14006,2020,"(0.76, 0.37400001525878906)"
374891,RightFoot,OpenPlay,SavedShot,0.018333302810788155,37,1,1,Vladimir Dyadyun,2974,a,Khimki,PFC Sochi,Dmitri Tikhiy,2020-08-14 16:00:00,14006,2020,"(0.74, 0.664000015258789)"
374895,Head,SetPiece,MissedShots,0.030133236199617386,46,1,1,Vladimir Dyadyun,2974,a,Khimki,PFC Sochi,Artem Polyarus,2020-08-14 16:00:00,14006,2020,"(0.895, 0.605999984741211)"
374889,RightFoot,OpenPlay,Goal,0.49134165048599243,23,1,1,Alexander Troshechkin,3025,a,Khimki,PFC Sochi,,2020-08-14 16:00:00,14006,2020,"(0.915, 0.51)"
374907,RightFoot,OpenPlay,MissedShots,0.024712130427360535,83,1,1,Kamran Aliev,8602,a,Khimki,PFC Sochi,Brian Idowu,2020-08-14 16:00:00,14006,2020,"(0.7709999847412109, 0.39799999237060546)"
374898,RightFoot,OpenPlay,MissedShots,0.3750953674316406,56,1,1,Kamran Aliev,8602,a,Khimki,PFC Sochi,Artem Polyarus,2020-08-14 16:00:00,14006,2020,"(0.9080000305175782, 0.415)"
375135,RightFoot,OpenPlay,MissedShots,0.04866648092865944,86,0,1,Mohamed Konate,5417,a,Khimki,FC Tambov,Alexander Troshechkin,2020-08-18 16:00:00,14014,2020,"(0.8909999847412109, 0.43400001525878906)"
375126,RightFoot,OpenPlay,BlockedShot,0.0126334922388196,59,0,1,Artem Polyarus,8601,a,Khimki,FC Tambov,Brian Idowu,2020-08-18 16:00:00,14014,2020,"(0.7169999694824218, 0.7030000305175781)"
375136,RightFoot,OpenPlay,BlockedShot,0.01217917911708355,89,0,1,Alexander Troshechkin,3025,a,Khimki,FC Tambov,,2020-08-18 16:00:00,14014,2020,"(0.6940000152587891, 0.5329999923706055)"
375125,Head,OpenPlay,SavedShot,0.019751690328121185,58,0,1,Mohamed Konate,5417,a,Khimki,FC Tambov,Artem Polyarus,2020-08-18 16:00:00,14014,2020,"(0.870999984741211, 0.4779999923706055)"
375113,Head,SetPiece,MissedShots,0.053265392780303955,11,0,1,Alexander Troshechkin,3025,a,Khimki,FC Tambov,Artem Polyarus,2020-08-18 16:00:00,14014,2020,"(0.9159999847412109, 0.475)"
375118,RightFoot,OpenPlay,MissedShots,0.048416610807180405,21,0,1,Alexander Troshechkin,3025,a,Khimki,FC Tambov,Artem Polyarus,2020-08-18 16:00:00,14014,2020,"(0.8209999847412109, 0.49)"
375132,RightFoot,OpenPlay,MissedShots,0.014301876537501812,73,0,1,Egor Danilkin,3189,a,Khimki,FC Tambov,Maksim Martusevich,2020-08-18 16:00:00,14014,2020,"(0.7069999694824218, 0.47200000762939454)"
